text,devanagari,label
अs्vs्th,अस्वस्थ,negative
अsaant,अशांत,negative
अshant,अशांत,negative
अshaant,अशांत,negative
अSHAANT,अशांत,negative
अs्thिr,अस्थिर,negative
अS्ThिR,अस्थिर,negative
अsntुlिt,असंतुलित,negative
अSNTुLिT,असंतुलित,negative
BHEETEE,भीती,negative
bheethee,भीती,negative
bheetee,भीती,negative
bhiti,भीती,negative
DR,डर,negative
dr,डर,negative
dhaak,धाक,negative
Dhaak,धाक,negative
dhak,धाक,negative
bhy,भय,negative
BHY,भय,negative
T्Raas,त्रास,negative
t्raas,त्रास,negative
t्ras,त्रास,negative
ghabrn,घाबरण,negative
GHAABRN,घाबरण,negative
ghaabrn,घाबरण,negative
Snkoch,संकोच,negative
snkoc,संकोच,negative
snkhoch,संकोच,negative
snkoch,संकोच,negative
LAAJ,लाज,negative
laaj,लाज,negative
laj,लाज,negative
srm,शरम,negative
SHRM,शरम,negative
shrm,शरम,negative
snbh्rm,संभ्रम,negative
SNBH्RM,संभ्रम,negative
अpyshi,अपयशी,negative
अpyshee,अपयशी,negative
अPYSHEE,अपयशी,negative
अpysee,अपयशी,negative
अsphl,असफल,negative
अSphl,असफल,negative
praabhoot,पराभूत,negative
prabhut,पराभूत,negative
Praabhoot,पराभूत,negative
HRNAAREN,हरणारें,negative
hrnaren,हरणारें,negative
hrnaaren,हरणारें,negative
tot्yachen,तोट्याचें,negative
tot्yaacen,तोट्याचें,negative
tot्yaachen,तोट्याचें,negative
Tot्Yaachen,तोट्याचें,negative
thot्yaachen,तोट्याचें,negative
nुksanichen,नुकसानीचें,negative
NुKSAANEECHEN,नुकसानीचें,negative
nुksaaneechen,नुकसानीचें,negative
nुksaaneecen,नुकसानीचें,negative
Haaneekaark,हानीकारक,negative
haaneekhaark,हानीकारक,negative
haaneekaark,हानीकारक,negative
hanikark,हानीकारक,negative
ghatk,घातक,negative
ghaatk,घातक,negative
GHAATK,घातक,negative
vिnashk,विनाशक,negative
VिNaashk,विनाशक,negative
vिnaask,विनाशक,negative
vिnaashk,विनाशक,negative
nashk,नाशक,negative
Naashk,नाशक,negative
naashk,नाशक,negative
naask,नाशक,negative
अdchn,अडचण,negative
अDchn,अडचण,negative
अdcn,अडचण,negative
अpghaat,अपघात,negative
अPghaat,अपघात,negative
अpghat,अपघात,negative
आpt्tee,आपत्ती,negative
आPT्TEE,आपत्ती,negative
आpt्ti,आपत्ती,negative
आpt्thee,आपत्ती,negative
snkt,संकट,negative
Snkt,संकट,negative
vिpt्thee,विपत्ती,negative
VिPt्Tee,विपत्ती,negative
vिpt्tee,विपत्ती,negative
vिpt्ti,विपत्ती,negative
आPht,आफत,negative
आpht,आफत,negative
mुseebt,मुसीबत,negative
MुSEEBT,मुसीबत,negative
mुsibt,मुसीबत,negative
ks्t,कष्ट,negative
ksh्t,कष्ट,negative
KSH्T,कष्ट,negative
yatna,यातना,negative
YAATNAA,यातना,negative
yaatnaa,यातना,negative
NिKृSH्T,निकृष्ट,negative
nिkृsh्t,निकृष्ट,negative
nिkृs्t,निकृष्ट,negative
hlken,हलकें,negative
HLKEN,हलकें,negative
hlkhen,हलकें,negative
TुCH्CHH,तुच्छ,negative
tुc्ch,तुच्छ,negative
tुch्chh,तुच्छ,negative
nich,नीच,negative
neec,नीच,negative
Neech,नीच,negative
neech,नीच,negative
KMEE,कमी,negative
kmee,कमी,negative
kmi,कमी,negative
अpुren,अपुरें,negative
अPुREN,अपुरें,negative
अPOOR्N,अपूर्ण,negative
अpur्n,अपूर्ण,negative
अphoor्n,अपूर्ण,negative
अpoor्n,अपूर्ण,negative
अr्dvt,अर्दवट,negative
अR्Dvt,अर्दवट,negative
अdhुren,अधुरें,negative
अDhुRen,अधुरें,negative
TुTpुNjen,तुटपुंजें,negative
tुtpुnjhen,तुटपुंजें,negative
tुtpुnjen,तुटपुंजें,negative
khothen,खोटें,negative
KHOTEN,खोटें,negative
khoten,खोटें,negative
अSt्Y,असत्य,negative
अst्y,असत्य,negative
BH्RMJNK,भ्रमजनक,negative
bh्rmjnk,भ्रमजनक,negative
dिshaabhool,दिशाभूल,negative
DिSHAABHOOL,दिशाभूल,negative
dिsaabhool,दिशाभूल,negative
dिshabhul,दिशाभूल,negative
ghothaalaa,घोटाळा,negative
ghotala,घोटाळा,negative
GHOTAALAA,घोटाळा,negative
ghotaalaa,घोटाळा,negative
phsvnook,फसवणूक,negative
PHSVNOOK,फसवणूक,negative
phsvnuk,फसवणूक,negative
chl,छल,negative
CHHL,छल,negative
chhl,छल,negative
Kpt,कपट,negative
kpt,कपट,negative
dhur्t,धूर्त,negative
dhoor्t,धूर्त,negative
DHOOR्T,धूर्त,negative
CHTुR,चतुर,negative
ctुr,चतुर,negative
chtुr,चतुर,negative
आjari,आजारी,negative
आjaaree,आजारी,negative
आJAAREE,आजारी,negative
आjhaaree,आजारी,negative
RुG्N,रुग्ण,negative
rुg्n,रुग्ण,negative
dुr्bl,दुर्बल,negative
DुR्BL,दुर्बल,negative
KmkुVt,कमकुवत,negative
kmkुvt,कमकुवत,negative
अshk्t,अशक्त,negative
अsk्t,अशक्त,negative
अShk्T,अशक्त,negative
nिhshk्t,निःशक्त,negative
NिHshk्T,निःशक्त,negative
nिhsk्t,निःशक्त,negative
अpng,अपंग,negative
अPng,अपंग,negative
VिKLAANG,विकलांग,negative
vिklaang,विकलांग,negative
vिklang,विकलांग,negative
rogg्rs्t,रोगग्रस्त,negative
ROGG्RS्T,रोगग्रस्त,negative
Thklelen,थकलेलें,negative
thklelen,थकलेलें,negative
ShिNlelen,शिणलेलें,negative
shिnlelen,शिणलेलें,negative
sिnlelen,शिणलेलें,negative
K्Laant,क्लांत,negative
k्lant,क्लांत,negative
k्laant,क्लांत,negative
t्rs्t,त्रस्त,negative
T्RS्T,त्रस्त,negative
pidिt,पीडित,negative
pheedिt,पीडित,negative
peedिt,पीडित,negative
PEEDिT,पीडित,negative
yaatnaag्rs्t,यातनाग्रस्त,negative
Yaatnaag्Rs्T,यातनाग्रस्त,negative
yatnag्rs्t,यातनाग्रस्त,negative
Vednaag्Rs्T,वेदनाग्रस्त,negative
vednag्rs्t,वेदनाग्रस्त,negative
vednaag्rs्t,वेदनाग्रस्त,negative
dुkhnen,दुखणें,negative
DुKhnen,दुखणें,negative
v्ythaa,व्यथा,negative
v्ytha,व्यथा,negative
V्Ythaa,व्यथा,negative
Peedaa,पीडा,negative
pheedhaa,पीडा,negative
peedaa,पीडा,negative
pida,पीडा,negative
एkthen,एकटें,negative
एkten,एकटें,negative
एKten,एकटें,negative
अkhelen,अकेलें,negative
अKELEN,अकेलें,negative
अkelen,अकेलें,negative
nिraash्rिt,निराश्रित,negative
nिrash्rिt,निराश्रित,negative
NिRAASH्RिT,निराश्रित,negative
nिraas्rिt,निराश्रित,negative
अNAATH,अनाथ,negative
अnaath,अनाथ,negative
अnath,अनाथ,negative
उpek्sिt,उपेक्षित,negative
उpek्shिt,उपेक्षित,negative
उPek्ShिT,उपेक्षित,negative
उphek्shिt,उपेक्षित,negative
dुr्lk्sिt,दुर्लक्षित,negative
dुr्lk्shिt,दुर्लक्षित,negative
DुR्LK्SHिT,दुर्लक्षित,negative
vgllelen,वगळलेलें,negative
VGLLELEN,वगळलेलें,negative
BHिSH्KृT,बहिष्कृत,negative
bhिs्kृt,बहिष्कृत,negative
bhिsh्kृt,बहिष्कृत,negative
Hd्Dpaar,हद्दपार,negative
hd्dpaar,हद्दपार,negative
hd्dpar,हद्दपार,negative
hd्dphaar,हद्दपार,negative
nिr्vasिt,निर्वासित,negative
nिr्vaasिt,निर्वासित,negative
NिR्VAASिT,निर्वासित,negative
VिRODHEE,विरोधी,negative
vिrodhee,विरोधी,negative
vिrodhi,विरोधी,negative
st्rु,शत्रु,negative
sht्rु,शत्रु,negative
Sht्Rु,शत्रु,negative
d्vesee,द्वेषी,negative
D्Veshee,द्वेषी,negative
d्veshee,द्वेषी,negative
d्veshi,द्वेषी,negative
vairee,वैरी,negative
vairi,वैरी,negative
VAIREE,वैरी,negative
p्rtिs्pr्dhee,प्रतिस्पर्धी,negative
P्RtिS्Pr्Dhee,प्रतिस्पर्धी,negative
p्rtिs्pr्dhi,प्रतिस्पर्धी,negative
VिRodh,विरोध,negative
vिrodh,विरोध,negative
Jhgdaa,झगडा,negative
jhgdaa,झगडा,negative
jhgda,झगडा,negative
jhgdhaa,झगडा,negative
vad,वाद,negative
vaad,वाद,negative
VAAD,वाद,negative
klh,कलह,negative
KLH,कलह,negative
bhandn,भांडण,negative
BHAANDN,भांडण,negative
bhaandn,भांडण,negative
उsheer,उशीर,negative
उSHEER,उशीर,negative
उshir,उशीर,negative
उseer,उशीर,negative
vिlnb,विलंब,negative
VिLNB,विलंब,negative
dिrngaaई,दिरंगाई,negative
dिrngaई,दिरंगाई,negative
dिrnghaaई,दिरंगाई,negative
DिRNGAAई,दिरंगाई,negative
sुs्ti,सुस्ती,negative
sुs्thee,सुस्ती,negative
sुs्tee,सुस्ती,negative
SुS्Tee,सुस्ती,negative
आls,आळस,negative
आLs,आळस,negative
nिsh्k्rिy,निष्क्रिय,negative
NिSH्K्RिY,निष्क्रिय,negative
nिs्k्rिy,निष्क्रिय,negative
अKR्MN्Y,अकर्मण्य,negative
अkr्mn्y,अकर्मण्य,negative
आlshi,आळशी,negative
आlshee,आळशी,negative
आlsee,आळशी,negative
आLSHEE,आळशी,negative
MNDGTEE,मंदगती,negative
mndgthee,मंदगती,negative
mndgti,मंदगती,negative
mndgtee,मंदगती,negative
mndpna,मंदपणा,negative
mndpnaa,मंदपणा,negative
MNDPNAA,मंदपणा,negative
अkaar्yk्shm,अकार्यक्षम,negative
अKaar्Yk्Shm,अकार्यक्षम,negative
अkar्yk्shm,अकार्यक्षम,negative
अkaar्yk्sm,अकार्यक्षम,negative
अkhaar्yk्shm,अकार्यक्षम,negative
अdk्s,अदक्ष,negative
अDK्SH,अदक्ष,negative
अdk्sh,अदक्ष,negative
अSMR्TH,असमर्थ,negative
अsmr्th,असमर्थ,negative
अYOG्Y,अयोग्य,negative
अyog्y,अयोग्य,negative
अnुpyुk्t,अनुपयुक्त,negative
अNुPYुK्T,अनुपयुक्त,negative
अnnुkool,अननुकूल,negative
अnnुkhool,अननुकूल,negative
अnnुkul,अननुकूल,negative
अNnुKool,अननुकूल,negative
अSoyees्Kr,असोयीस्कर,negative
अsoyees्kr,असोयीस्कर,negative
अsoyis्kr,असोयीस्कर,negative
अv्yvs्thिt,अव्यवस्थित,negative
अV्Yvs्ThिT,अव्यवस्थित,negative
GONDHL,गोंधळ,negative
gondhl,गोंधळ,negative
ghondhl,गोंधळ,negative
अrajk,अराजक,negative
अRAAJK,अराजक,negative
अraajk,अराजक,negative
p्rdooshिt,प्रदूषित,negative
p्rdhooshिt,प्रदूषित,negative
P्RDOOSHिT,प्रदूषित,negative
p्rdushिt,प्रदूषित,negative
p्rdoosिt,प्रदूषित,negative
MAIL,मैल,negative
mail,मैल,negative
अShुD्Dh,अशुद्ध,negative
अshुd्dh,अशुद्ध,negative
अsुd्dh,अशुद्ध,negative
अpvिt्r,अपवित्र,negative
अPVिT्R,अपवित्र,negative
dushिt,दूषित,negative
doosिt,दूषित,negative
dhooshिt,दूषित,negative
DOOSHिT,दूषित,negative
dooshिt,दूषित,negative
vिkृt,विकृत,negative
VिKृT,विकृत,negative
vिkaarg्rs्t,विकारग्रस्त,negative
vिkhaarg्rs्t,विकारग्रस्त,negative
VिKaarg्Rs्T,विकारग्रस्त,negative
vिkarg्rs्t,विकारग्रस्त,negative
ROGKAARK,रोगकारक,negative
rogkark,रोगकारक,negative
rogkaark,रोगकारक,negative
rogkhaark,रोगकारक,negative
Snsr्Gjn्Y,संसर्गजन्य,negative
snsr्gjn्y,संसर्गजन्य,negative
sansr्gिk,सांसर्गिक,negative
saansr्gिk,सांसर्गिक,negative
Saansr्GिK,सांसर्गिक,negative
dhokhaadhaayk,धोकादायक,negative
dhokaadaayk,धोकादायक,negative
Dhokaadaayk,धोकादायक,negative
dhokadayk,धोकादायक,negative
jokhmi,जोखमी,negative
jhokhmee,जोखमी,negative
jokhmee,जोखमी,negative
Jokhmee,जोखमी,negative
अsुrk्shिt,असुरक्षित,negative
अSुRk्ShिT,असुरक्षित,negative
अsुrk्sिt,असुरक्षित,negative
Bhyaan,भयाण,negative
bhyan,भयाण,negative
bhyaan,भयाण,negative
draavn,डरावन,negative
dravn,डरावन,negative
Draavn,डरावन,negative
Ghor,घोर,negative
ghor,घोर,negative
bhynkr,भयंकर,negative
Bhynkr,भयंकर,negative
VिK्Raal,विक्राळ,negative
vिk्raal,विक्राळ,negative
vिk्ral,विक्राळ,negative
raak्ssee,राक्षसी,negative
rak्shsi,राक्षसी,negative
RAAK्SHSEE,राक्षसी,negative
raak्shsee,राक्षसी,negative
अMaanvee,अमानवी,negative
अmaanvee,अमानवी,negative
अmanvi,अमानवी,negative
khaalaavdhee,कालावधी,neutral
KAALAAVDHEE,कालावधी,neutral
kalavdhi,कालावधी,neutral
kaalaavdhee,कालावधी,neutral
mुdt,मुदत,neutral
MुDT,मुदत,neutral
अVDHEE,अवधी,neutral
अvdhee,अवधी,neutral
अvdhi,अवधी,neutral
VEL,वेळ,neutral
vel,वेळ,neutral
smy,समय,neutral
SMY,समय,neutral
thaas,तास,neutral
tas,तास,neutral
taas,तास,neutral
TAAS,तास,neutral
mिneet,मिनीट,neutral
mिnit,मिनीट,neutral
MिNEET,मिनीट,neutral
seknd,सेकंद,neutral
Seknd,सेकंद,neutral
Dees,दीस,neutral
dis,दीस,neutral
dhees,दीस,neutral
dees,दीस,neutral
RAAT,रात,neutral
rat,रात,neutral
raat,रात,neutral
SKAAL,सकाळ,neutral
skal,सकाळ,neutral
skhaal,सकाळ,neutral
skaal,सकाळ,neutral
dुphaar,दुपार,neutral
dुpar,दुपार,neutral
dुpaar,दुपार,neutral
DुPAAR,दुपार,neutral
SNDH्YAAKAAL,संध्याकाळ,neutral
sndh्yakal,संध्याकाळ,neutral
sndh्yaakhaal,संध्याकाळ,neutral
sndh्yaakaal,संध्याकाळ,neutral
mdh्yrat्r,मध्यरात्र,neutral
mdh्yraat्r,मध्यरात्र,neutral
Mdh्Yraat्R,मध्यरात्र,neutral
P्Rhr,प्रहर,neutral
p्rhr,प्रहर,neutral
YुG,युग,neutral
yुg,युग,neutral
Shtk,शतक,neutral
stk,शतक,neutral
shtk,शतक,neutral
dshk,दशक,neutral
dsk,दशक,neutral
DSHK,दशक,neutral
Vr्Sh,वर्ष,neutral
vr्s,वर्ष,neutral
vr्sh,वर्ष,neutral
mhिno,महिनो,neutral
MHिNO,महिनो,neutral
P्Rmaan,प्रमाण,neutral
p्rmaan,प्रमाण,neutral
p्rman,प्रमाण,neutral
prिman,परिमाण,neutral
prिmaan,परिमाण,neutral
PrिMaan,परिमाण,neutral
Maap,माप,neutral
maap,माप,neutral
map,माप,neutral
Tol,तोल,neutral
tol,तोल,neutral
thol,तोल,neutral
Vjn,वजन,neutral
vjn,वजन,neutral
ghnthaa,घनता,neutral
Ghntaa,घनता,neutral
ghnta,घनता,neutral
ghntaa,घनता,neutral
ghnphl,घनफळ,neutral
Ghnphl,घनफळ,neutral
K्Shet्R,क्षेत्र,neutral
k्shet्r,क्षेत्र,neutral
k्set्r,क्षेत्र,neutral
vिs्tar,विस्तार,neutral
vिs्thaar,विस्तार,neutral
VिS्TAAR,विस्तार,neutral
vिs्taar,विस्तार,neutral
prिseemaa,परिसीमा,neutral
prिsima,परिसीमा,neutral
PrिSeemaa,परिसीमा,neutral
lanbay,लांबाय,neutral
laanbhaay,लांबाय,neutral
laanbaay,लांबाय,neutral
Laanbaay,लांबाय,neutral
rुnday,रुंदाय,neutral
RुNDAAY,रुंदाय,neutral
rुndhaay,रुंदाय,neutral
rुndaay,रुंदाय,neutral
उncaay,उंचाय,neutral
उnchay,उंचाय,neutral
उNCHAAY,उंचाय,neutral
उnchaay,उंचाय,neutral
kholay,खोलाय,neutral
kholaay,खोलाय,neutral
Kholaay,खोलाय,neutral
jaday,जाडाय,neutral
jaadaay,जाडाय,neutral
jhaadhaay,जाडाय,neutral
JAADAAY,जाडाय,neutral
PAATLAAY,पातळाय,neutral
phaatlaay,पातळाय,neutral
patlay,पातळाय,neutral
paatlaay,पातळाय,neutral
आKAAR,आकार,neutral
आkhaar,आकार,neutral
आkar,आकार,neutral
आkaar,आकार,neutral
आKृTEE,आकृती,neutral
आkृthee,आकृती,neutral
आkृti,आकृती,neutral
आkृtee,आकृती,neutral
roop,रूप,neutral
rup,रूप,neutral
ROOP,रूप,neutral
s्vroop,स्वरूप,neutral
S्VROOP,स्वरूप,neutral
s्vrup,स्वरूप,neutral
उt्tr,उत्तर,neutral
उT्TR,उत्तर,neutral
DK्SHिN,दक्षिण,neutral
dk्sिn,दक्षिण,neutral
dk्shिn,दक्षिण,neutral
phoor्v,पूर्व,neutral
poor्v,पूर्व,neutral
pur्v,पूर्व,neutral
Poor्V,पूर्व,neutral
psh्chिm,पश्चिम,neutral
PSH्CHिM,पश्चिम,neutral
ps्cिm,पश्चिम,neutral
VR,वर,neutral
vr,वर,neutral
Khaal,खाल,neutral
khaal,खाल,neutral
khal,खाल,neutral
आT,आत,neutral
आt,आत,neutral
baaher,बाहेर,neutral
BAAHER,बाहेर,neutral
baher,बाहेर,neutral
bhaaher,बाहेर,neutral
smor,समोर,neutral
Smor,समोर,neutral
magen,मागें,neutral
MAAGEN,मागें,neutral
maaghen,मागें,neutral
maagen,मागें,neutral
JVL,जवळ,neutral
jvl,जवळ,neutral
Door,दूर,neutral
dur,दूर,neutral
door,दूर,neutral
dhoor,दूर,neutral
MDH्Y,मध्य,neutral
mdh्y,मध्य,neutral
kdhe,कडे,neutral
KDE,कडे,neutral
kde,कडे,neutral
dिsha,दिशा,neutral
dिshaa,दिशा,neutral
DिShaa,दिशा,neutral
dिsaa,दिशा,neutral
khon,कोन,neutral
kon,कोन,neutral
KON,कोन,neutral
अK्SHAANSH,अक्षांश,neutral
अk्shansh,अक्षांश,neutral
अk्shaansh,अक्षांश,neutral
अk्saans,अक्षांश,neutral
rekhansh,रेखांश,neutral
rekhaansh,रेखांश,neutral
rekhaans,रेखांश,neutral
Rekhaansh,रेखांश,neutral
s्than,स्थान,neutral
S्Thaan,स्थान,neutral
s्thaan,स्थान,neutral
nिr्desaank,निर्देशांक,neutral
nिr्deshaank,निर्देशांक,neutral
nिr्deshank,निर्देशांक,neutral
NिR्Deshaank,निर्देशांक,neutral
nिr्dheshaank,निर्देशांक,neutral
PD्DHT,पद्धत,neutral
pd्dht,पद्धत,neutral
Reet,रीत,neutral
reet,रीत,neutral
rit,रीत,neutral
Tnt्R,तंत्र,neutral
tnt्r,तंत्र,neutral
p्rk्rिya,प्रक्रिया,neutral
P्RK्RिYAA,प्रक्रिया,neutral
p्rk्rिyaa,प्रक्रिया,neutral
KAAR्YPD्DHTEE,कार्यपद्धती,neutral
kar्ypd्dhti,कार्यपद्धती,neutral
kaar्ypd्dhtee,कार्यपद्धती,neutral
khaar्ypd्dhthee,कार्यपद्धती,neutral
ऑpreshn,ऑपरेशन,neutral
ऑPRESHN,ऑपरेशन,neutral
ऑpresn,ऑपरेशन,neutral
sncaaln,संचालन,neutral
snchaln,संचालन,neutral
SNCHAALN,संचालन,neutral
snchaaln,संचालन,neutral
NिYnt्Rn,नियंत्रण,neutral
nिynt्rn,नियंत्रण,neutral
v्yvs्thapn,व्यवस्थापन,neutral
v्yvs्thaapn,व्यवस्थापन,neutral
V्YVS्THAAPN,व्यवस्थापन,neutral
अNmlbjaavnee,अंमलबजावणी,neutral
अnmlbjavni,अंमलबजावणी,neutral
अnmlbjhaavnee,अंमलबजावणी,neutral
अnmlbjaavnee,अंमलबजावणी,neutral
Kaar्Yaan्Vyn,कार्यान्वयन,neutral
khaar्yaan्vyn,कार्यान्वयन,neutral
kaar्yaan्vyn,कार्यान्वयन,neutral
kar्yan्vyn,कार्यान्वयन,neutral
अNुP्Ryog,अनुप्रयोग,neutral
अnुp्ryog,अनुप्रयोग,neutral
vaapr,वापर,neutral
vapr,वापर,neutral
Vaapr,वापर,neutral
उpyog,उपयोग,neutral
उPyog,उपयोग,neutral
phaydo,फायदो,neutral
phaaydho,फायदो,neutral
phaaydo,फायदो,neutral
PHAAYDO,फायदो,neutral
labh,लाभ,neutral
LAABH,लाभ,neutral
laabh,लाभ,neutral
prिnam,परिणाम,neutral
PRिNAAM,परिणाम,neutral
prिnaam,परिणाम,neutral
Phl,फळ,neutral
phl,फळ,neutral
nिs्kr्s,निष्कर्ष,neutral
NिSH्KR्SH,निष्कर्ष,neutral
nिsh्kr्sh,निष्कर्ष,neutral
TुLNAA,तुलना,neutral
tुlnaa,तुलना,neutral
tुlna,तुलना,neutral
saamnaa,सामना,neutral
samna,सामना,neutral
Saamnaa,सामना,neutral
S्PR्DHAA,स्पर्धा,neutral
s्pr्dha,स्पर्धा,neutral
s्pr्dhaa,स्पर्धा,neutral
p्rtिs्pr्dhaa,प्रतिस्पर्धा,neutral
P्RTिS्PR्DHAA,प्रतिस्पर्धा,neutral
p्rtिs्pr्dha,प्रतिस्पर्धा,neutral
VिRODH,विरोध,neutral
vिrodh,विरोध,neutral
smaantaa,समानता,neutral
smanta,समानता,neutral
Smaantaa,समानता,neutral
smaanthaa,समानता,neutral
SAADृSH्Y,सादृश्य,neutral
saadृs्y,सादृश्य,neutral
saadृsh्y,सादृश्य,neutral
sadृsh्y,सादृश्य,neutral
phrk,फरक,neutral
Phrk,फरक,neutral
अNtr,अंतर,neutral
अntr,अंतर,neutral
v्ytिrek,व्यतिरेक,neutral
V्YTिREK,व्यतिरेक,neutral
snbndh,संबंध,neutral
SNBNDH,संबंध,neutral
NAATEN,नातें,neutral
naaten,नातें,neutral
naten,नातें,neutral
naathen,नातें,neutral
SNPR्K,संपर्क,neutral
snpr्k,संपर्क,neutral
Jod,जोड,neutral
jhod,जोड,neutral
jod,जोड,neutral
bndh,बंध,neutral
Bndh,बंध,neutral
आntrsnbndh,आंतरसंबंध,neutral
आNtrsnbndh,आंतरसंबंध,neutral
अntr्gt,अंतर्गत,neutral
अNtr्Gt,अंतर्गत,neutral
Baah्Y,बाह्य,neutral
bah्y,बाह्य,neutral
baah्y,बाह्य,neutral
bhaah्y,बाह्य,neutral
आntrिk,आंतरिक,neutral
आNTRिK,आंतरिक,neutral
